"TITLE"	"SUMMARY"	"URL"	"change"
"Airbus set for Virgin, Germania order boosts at Farnborough"	"Airbus set for Virgin, Germania order boosts at Farnborough"	"http://in.finance.yahoo.com/news/airbus-set-virgin-germania-order-064150738.html"	"N"
"U.S. Air Force urges decision on delayed Mideast fighter jet sales"	"U.S. Air Force urges decision on delayed Mideast fighter jet sales"	"http://in.finance.yahoo.com/news/u-air-force-urges-decision-063722417.html"	"N"
"Planemakers shrug off economy worries as travel demand grows"	"Planemakers shrug off economy worries as travel demand grows"	"http://in.finance.yahoo.com/news/planemakers-shrug-off-economy-worries-113310399.html"	"N"
"Boeing lifts 20 year forecast for new aircraft demand"	"Boeing lifts 20 year forecast for new aircraft demand"	"http://in.finance.yahoo.com/news/boeing-lifts-20-forecast-aircraft-102630912.html"	"N"
"Airbus bags Asian deals as Farnborough struggles to take off"	"Airbus bags Asian deals as Farnborough struggles to take off"	"http://in.finance.yahoo.com/news/airbus-bags-asian-deals-farnborough-225158023.html"	"N"
"Airbus cuts A380 delivery target to avoid glut"	"Airbus cuts A380 delivery target to avoid glut"	"http://in.finance.yahoo.com/news/airbus-cuts-a380-delivery-target-225158403.html"	"N"
"Airbus says output cut won't drive A380 massively into red"	"Airbus says output cut won't drive A380 massively into red"	"http://in.finance.yahoo.com/news/airbus-says-output-cut-wont-123946361.html"	"N"
"Airbus beats Boeing on orders tally at Farnborough Airshow"	"Airbus beats Boeing on orders tally at Farnborough Airshow"	"http://in.finance.yahoo.com/news/airbus-beats-boeing-orders-tally-150920016.html"	"N"
"Iran seeks more aircraft as questions linger over earlier deals"	"[Reuters - UK Focus] - ANKARA/FARNBOROUGH, England, July 17 (Reuters) - Iran has expanded its search for aircraft and is looking to order dozens more jets while it continues to try to overcome hurdles to deals worth some $50 billion with Airbus and Boeing (NYSE: BA - news) , Iranian officials and Western industry sources said. Iran is planning to buy some 50 more airplanes of various types soon, an Iranian official said. At the same time, Iran is continuing to meet Airbus and Boeing to try to resolve headaches surrounding the financing of existing deals to buy some 200 jetliners, needed to renew its fleet."	"http://uk.finance.yahoo.com/news/iran-seeks-more-aircraft-questions-174737256.html"	"N"
"UK airshow orders plummet in skies clouded by Brexit"	"UK airshow orders plummet in skies clouded by Brexit"	"http://uk.finance.yahoo.com/news/uk-airshow-orders-plummet-skies-135903806.html"	"N"
"Boeing aims for supersonics and Mars at outset of second century"	"Boeing aims for supersonics and Mars at outset of second century"	"http://in.finance.yahoo.com/news/boeing-aims-supersonics-mars-outset-224345912.html"	"N"
"AIRSHOW-UK aerospace puts brave face on Brexit"	"[Reuters - UK Focus] - * UK aerospace industry is No.2 in world behind U.S (Other OTC: UBGXF - news) . FARNBOROUGH, England, July 15 (Reuters) - With UK factories working at full tilt to meet bumper demand for aeroplanes, aerospace executives have been quick to brush aside fears of any imminent threat from Britain's exit from the European Union. The industry is locked into production cycles that can take up to three decades to play out, big customers like Boeing have rallied to support local suppliers and more work is coming Britain's way as the U.S. aerospace giant and its European rival Airbus ramp up output."	"http://uk.finance.yahoo.com/news/airshow-uk-aerospace-puts-brave-070001516.html"	"N"
"Boeing expects India demand of 1,850 planes in 20 years"	"Boeing expects India demand of 1,850 planes in 20 years"	"http://in.finance.yahoo.com/news/boeing-expects-india-demand-1-145604395.html"	"N"
"Boeing revises India aircraft forecast to 1,850 new jets over 20 years"	"Boeing revises India aircraft forecast to 1,850 new jets over 20 years"	"http://in.finance.yahoo.com/news/boeing-revises-india-aircraft-forecast-110333221.html"	"N"
"NCAP to impact original equipment manufacturers: Boeing"	"NCAP to impact original equipment manufacturers: Boeing"	"http://in.finance.yahoo.com/news/ncap-impact-original-equipment-manufacturers-121805401.html"	"N"
"US stocks open flat as Boeing retreats"	"US stocks open flat as Boeing retreats"	"http://uk.finance.yahoo.com/news/us-stocks-open-flat-boeing-151111765.html"	"N"
"Boeing warns of more than $2 billion in charges, shares drop"	"Boeing warns of more than $2 billion in charges, shares drop"	"http://in.finance.yahoo.com/news/boeing-warns-more-2-billion-231111340.html"	"N"
"Boeing hit by $2.1 bn in tanker, production costs"	"Boeing hit by $2.1 bn in tanker, production costs"	"http://uk.finance.yahoo.com/news/boeing-hit-2-1-bn-213140117.html"	"N"
"Boeing Partners with Emirates Flight Training Academy to Address Growing Pilot Demand"	"[at noodls] - OSHKOSH, Wis., July25, 2016 - Boeing (NYSE: BA) announced a partnership today with the Emirates Flight Training Academy, a division of Emirates Airline, to collaborate on a comprehensive training curriculum ..."	"http://www.publicnow.com/view/FB7354B8571D7574EFF8D48EF1476BDD9F44233C"	"N"
"Boeing reports $A311m Q2 loss"	"[AAP] - Boeing has reported a second-quarter loss of $US234 million ($A311.81 million), after reporting a profit in the same period a year earlier. The average estimate of seven analysts surveyed by Zacks Investment Research was for a loss of 88 cents per share. Boeing expects full-year earnings in the range of $US6.10 to $US6.30 per share, with revenue in the range of $US93 billion to $US95 billion."	"http://au.finance.yahoo.com/news/boeing-reports-a311m-q2-loss-124505339.html"	"N"
"Better-than expected Apple earnings boost US stocks"	"Better-than expected Apple earnings boost US stocks"	"http://sg.finance.yahoo.com/news/better-expected-apple-earnings-boost-142411478.html"	"N"
"US durable goods orders tumble in June"	"US durable goods orders tumble in June"	"http://uk.finance.yahoo.com/news/us-durable-goods-orders-tumble-135932998.html"	"N"
"Airbus Group takes 1.4 billion euro hit for troop plane, A350 problems"	"Airbus Group takes 1.4 billion euro hit for troop plane, A350 problems"	"http://sg.finance.yahoo.com/news/airbus-group-hit-1-4-051707666.html"	"N"
"India inks $1 billion deal with Boeing for spy planes: sources"	"India inks $1 billion deal with Boeing for spy planes: sources"	"http://sg.finance.yahoo.com/news/india-inks-1-billion-deal-115055620.html"	"N"
"Boeing reports $A33m Q2 loss"	"[AAP] - Boeing has reported a second-quarter loss of $US234 million ($A311.81 million), after reporting a profit in the same period a year earlier. The average estimate of seven analysts surveyed by Zacks Investment Research was for a loss of 88 cents per share. Boeing expects full-year earnings in the range of $US6.10 to $US6.30 per share, with revenue in the range of $US93 billion to $US95 billion."	"http://au.finance.yahoo.com/news/boeing-reports-a33m-q2-loss-123915547.html"	"N"
"India orders four maritime spy planes from Boeing, bolsters navy"	"India orders four maritime spy planes from Boeing, bolsters navy"	"http://in.finance.yahoo.com/news/india-orders-4-more-maritime-102801838.html"	"N"
"Airbus Group takes $1.5 bln hit for troop plane, A350 problems"	"Airbus Group takes $1.5 bln hit for troop plane, A350 problems"	"http://uk.finance.yahoo.com/news/airbus-group-hit-1-4-052600734.html"	"N"
"Malaysia Airlines inks $2.75B deal for 50 Boeing Max jets"	"Malaysia Airlines inks $2.75B deal for 50 Boeing Max jets"	"http://sg.finance.yahoo.com/news/malaysia-airlines-inks-5-5b-081018552.html"	"N"
"Boeing Reports Second-Quarter Results"	"[at noodls] - CHICAGO, July 27, 2016 /PRNewswire/ -- Revenue increased to $24.8 billionon strong commercial deliveries and services growth Loss of $0.37per share (GAAP) and core (non-GAAP)* loss of $0.44per share reflect ..."	"http://www.publicnow.com/view/3DECF438FB59D672856A779F34BAA175209A78D6"	"N"
"Malaysia Airlines to buy 50 Boeing jets"	"Malaysia Airlines to buy 50 Boeing jets"	"http://uk.finance.yahoo.com/news/malaysia-airlines-buy-50-boeing-064704681.html"	"N"
"Malaysia Airlines to buy 50 Boeing jets"	"[AFP] - Struggling Malaysia Airlines on Wednesday announced plans to purchase 50 Boeing aircraft for $5.5 billion as it continues efforts to recover from devastating twin disasters in 2014. Malaysia's national flag carrier said it had placed firm orders for 25 Boeing 737 MAX jets and had purchase rights for another 25. New CEO Peter Bellew said the purchase of the aircraft, which are known for their fuel efficiency, would aid the airline's recovery."	"http://au.finance.yahoo.com/news/malaysia-airlines-buy-50-boeing-204704600.html"	"N"
"Boeing Debuts 737 MAX Flight Demonstration Video at Oshkosh Air Show"	"[at noodls] - OSHKOSH, Wis., July 26, 2016 - Boeing (NYSE: BA) today released the 2016 737 MAX Flight Demonstration video at EAA AirVenture in Oshkosh. The video highlights the MAX's handling characteristics, short ..."	"http://www.publicnow.com/view/A5B9773DE771F75D03CD3AB1E02479E5D0938C2B"	"N"
"Boeing, Bastion Collaborate under NASA Small Business Development Program"	"[at noodls] - KENNEDY SPACE CENTER, Fla., July 26, 2016 - Boeing and Houston-based Bastion Technologies, Inc., a Boeing supplier for almost 20 years, have signed an agreement under a NASA program to help ..."	"http://www.publicnow.com/view/08DE216516EFD5A93A8EE279E84197473A15BE31"	"N"
"Boeing, Malaysia Airlines Announce Order for up to 50 737 MAX Airplanes"	"[at noodls] - KUALA LUMPUR, Malaysia, July 27, 2016 - Boeing and Malaysia Airlines Berhad (Malaysia Airlines) announced today an order for 25 737 MAX 8 airplanes, valued at $2.75 billion dollars at current ..."	"http://www.publicnow.com/view/964BAD1A21310F1B5F180FE399CC4A14DCF679F7"	"N"
"Boeing reports $234 million loss after unexpected costs"	"Boeing reports $234 million loss after unexpected costs"	"http://uk.finance.yahoo.com/news/boeing-reports-234-million-loss-115712729.html"	"N"
